vid_id,vid_channel_id,vid_deets,vid_response,title,publishedAt
_742Y0xhC0g,UC2IE2CK5Cw_26wVv3hPbAgQ,"{'kind': 'youtube#videoListResponse', 'etag': 't6RNrs3SxmHT1EWV17jbz-S10KY', 'items': [{'kind': 'youtube#video', 'etag': 'IfUP2KNJAP-qzC97avDqHBIMLo4', 'id': '_742Y0xhC0g', 'snippet': {'publishedAt': '2023-02-07T16:43:25Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'why just espresso?', 'description': 'This explains ""the point"" of our channel.  To help people find the personal selection of espresso they look forward to having in the morning.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/_742Y0xhC0g/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_742Y0xhC0g/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_742Y0xhC0g/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/_742Y0xhC0g/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/_742Y0xhC0g/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'David Ramsey', 'categoryId': '26', 'liveBroadcastContent': 'none', 'localized': {'title': 'why just espresso?', 'description': 'This explains ""the point"" of our channel.  To help people find the personal selection of espresso they look forward to having in the morning.'}}, 'contentDetails': {'duration': 'PT24S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}, 'statistics': {'viewCount': '1', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}}], 'pageInfo': {'totalResults': 1, 'resultsPerPage': 1}}","{'kind': 'youtube#searchResult', 'etag': 'An5b7sZOEC9dnZ9pOZWVrM-4qkI', 'id': {'kind': 'youtube#video', 'videoId': '_742Y0xhC0g'}, 'snippet': {'publishedAt': '2023-02-07T16:43:25Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'why just espresso?', 'description': 'This explains ""the point"" of our channel. To help people find the personal selection of espresso they look forward to having in the ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/_742Y0xhC0g/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_742Y0xhC0g/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_742Y0xhC0g/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'David Ramsey', 'liveBroadcastContent': 'none', 'publishTime': '2023-02-07T16:43:25Z'}}",why just espresso?,2023-02-07T16:43:25Z
IbwCRWah_aU,UC2IE2CK5Cw_26wVv3hPbAgQ,"{'kind': 'youtube#videoListResponse', 'etag': '7RJezxlaYQp9yCSvqtbyELxSkyo', 'items': [{'kind': 'youtube#video', 'etag': 'mnUD6rTVDbm78j9pDc2lDPQ5FmY', 'id': 'IbwCRWah_aU', 'snippet': {'publishedAt': '2023-01-06T20:05:33Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'Auto-Label Biomedical Terms with BioBert/BERN Api', 'description': 'click here to learn more:\n\nhttps://www.daveramseymusic.com/post/auto-label-biomedical-terms-with-biobert-bern-api\n\nUse my code to send comments from a video to BERN and then use Zeo-Shot-Classification to analyize how much different topics are referenced in the whole collection of comments.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/IbwCRWah_aU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IbwCRWah_aU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IbwCRWah_aU/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/IbwCRWah_aU/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/IbwCRWah_aU/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'David Ramsey', 'categoryId': '28', 'liveBroadcastContent': 'none', 'localized': {'title': 'Auto-Label Biomedical Terms with BioBert/BERN Api', 'description': 'click here to learn more:\n\nhttps://www.daveramseymusic.com/post/auto-label-biomedical-terms-with-biobert-bern-api\n\nUse my code to send comments from a video to BERN and then use Zeo-Shot-Classification to analyize how much different topics are referenced in the whole collection of comments.'}}, 'contentDetails': {'duration': 'PT2M47S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}, 'statistics': {'viewCount': '13', 'likeCount': '1', 'favoriteCount': '0', 'commentCount': '0'}}], 'pageInfo': {'totalResults': 1, 'resultsPerPage': 1}}","{'kind': 'youtube#searchResult', 'etag': 'ISze1r4KFSdhJ4En-BYD1Qcd8s8', 'id': {'kind': 'youtube#video', 'videoId': 'IbwCRWah_aU'}, 'snippet': {'publishedAt': '2023-01-06T20:05:33Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'Auto-Label Biomedical Terms with BioBert/BERN Api', 'description': 'click here to learn more: https://www.daveramseymusic.com/post/auto-label-biomedical-terms-with-biobert-bern-api Use my code ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/IbwCRWah_aU/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IbwCRWah_aU/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IbwCRWah_aU/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'David Ramsey', 'liveBroadcastContent': 'none', 'publishTime': '2023-01-06T20:05:33Z'}}",Auto-Label Biomedical Terms with BioBert/BERN Api,2023-01-06T20:05:33Z
k4ujopBcY8M,UC2IE2CK5Cw_26wVv3hPbAgQ,"{'kind': 'youtube#videoListResponse', 'etag': 'ee93xFcqinpllmzNSRKZO5LECK4', 'items': [{'kind': 'youtube#video', 'etag': 't0c4OO8BJXYSZa89VgEN0EDI-0Q', 'id': 'k4ujopBcY8M', 'snippet': {'publishedAt': '2022-08-18T15:04:37Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'Decent Espresso Machine Youtube Competition by Subscriber/Commenter Analysis', 'description': 'Decent Espresso Machine Youtube Competition by Subscriber/Commenter Analysis', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/k4ujopBcY8M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/k4ujopBcY8M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/k4ujopBcY8M/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/k4ujopBcY8M/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/k4ujopBcY8M/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'David Ramsey', 'categoryId': '28', 'liveBroadcastContent': 'none', 'localized': {'title': 'Decent Espresso Machine Youtube Competition by Subscriber/Commenter Analysis', 'description': 'Decent Espresso Machine Youtube Competition by Subscriber/Commenter Analysis'}}, 'contentDetails': {'duration': 'PT3M2S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}, 'statistics': {'viewCount': '29', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}}], 'pageInfo': {'totalResults': 1, 'resultsPerPage': 1}}","{'kind': 'youtube#searchResult', 'etag': 'k9ldhM1se4_XWhKdT_8XtPJPzfo', 'id': {'kind': 'youtube#video', 'videoId': 'k4ujopBcY8M'}, 'snippet': {'publishedAt': '2022-08-18T15:04:37Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'Decent Espresso Machine Youtube Competition by Subscriber/Commenter Analysis', 'description': 'Decent Espresso Machine Youtube Competition by Subscriber/Commenter Analysis.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/k4ujopBcY8M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/k4ujopBcY8M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/k4ujopBcY8M/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'David Ramsey', 'liveBroadcastContent': 'none', 'publishTime': '2022-08-18T15:04:37Z'}}",Decent Espresso Machine Youtube Competition by Subscriber/Commenter Analysis,2022-08-18T15:04:37Z
pHzUo_SJ6Yw,UC2IE2CK5Cw_26wVv3hPbAgQ,"{'kind': 'youtube#videoListResponse', 'etag': 'xInwyeep58hnkxJYDGn3AVcU_zY', 'items': [{'kind': 'youtube#video', 'etag': 'yWNnZqyMLeaO5KGcQvINSfwopGE', 'id': 'pHzUo_SJ6Yw', 'snippet': {'publishedAt': '2022-06-21T00:44:12Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'Decent Espresso Machines Random Forest ML YouTube Recommendations Pt 1', 'description': 'Decent Espresso Machines Random Forest ML YouTube Recommendations Pt 1', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/pHzUo_SJ6Yw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pHzUo_SJ6Yw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pHzUo_SJ6Yw/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/pHzUo_SJ6Yw/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/pHzUo_SJ6Yw/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'David Ramsey', 'categoryId': '28', 'liveBroadcastContent': 'none', 'localized': {'title': 'Decent Espresso Machines Random Forest ML YouTube Recommendations Pt 1', 'description': 'Decent Espresso Machines Random Forest ML YouTube Recommendations Pt 1'}}, 'contentDetails': {'duration': 'PT3M15S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}, 'statistics': {'viewCount': '40', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}}], 'pageInfo': {'totalResults': 1, 'resultsPerPage': 1}}","{'kind': 'youtube#searchResult', 'etag': 'HIFiH3Z6-nmaJnUgYHTfxMa9yzo', 'id': {'kind': 'youtube#video', 'videoId': 'pHzUo_SJ6Yw'}, 'snippet': {'publishedAt': '2022-06-21T00:44:12Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'Decent Espresso Machines Random Forest ML YouTube Recommendations Pt 1', 'description': 'Decent Espresso Machines Random Forest ML YouTube Recommendations Pt 1.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/pHzUo_SJ6Yw/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pHzUo_SJ6Yw/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pHzUo_SJ6Yw/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'David Ramsey', 'liveBroadcastContent': 'none', 'publishTime': '2022-06-21T00:44:12Z'}}",Decent Espresso Machines Random Forest ML YouTube Recommendations Pt 1,2022-06-21T00:44:12Z
z-ihFXXdbx4,UC2IE2CK5Cw_26wVv3hPbAgQ,"{'kind': 'youtube#videoListResponse', 'etag': 'zuFMjwZevkNV_BXNeGyoJRd_vLg', 'items': [{'kind': 'youtube#video', 'etag': 'sPNJedT62EPV865UxiZue9V_wrw', 'id': 'z-ihFXXdbx4', 'snippet': {'publishedAt': '2022-06-06T16:47:08Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'Machine Learning & Youtube API: Targeted Youtube Growth Via Topics Your Viewers Want Next', 'description': 'How to figure out what topics would grow your viewership the most for your youtube channel using the Youtube API and machine learning.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/z-ihFXXdbx4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/z-ihFXXdbx4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/z-ihFXXdbx4/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/z-ihFXXdbx4/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/z-ihFXXdbx4/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'David Ramsey', 'tags': ['youtube api', 'api', 'data science', 'data analysis', 'stratascratch'], 'categoryId': '28', 'liveBroadcastContent': 'none', 'localized': {'title': 'Machine Learning & Youtube API: Targeted Youtube Growth Via Topics Your Viewers Want Next', 'description': 'How to figure out what topics would grow your viewership the most for your youtube channel using the Youtube API and machine learning.'}}, 'contentDetails': {'duration': 'PT9M21S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}, 'statistics': {'viewCount': '9', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}}], 'pageInfo': {'totalResults': 1, 'resultsPerPage': 1}}","{'kind': 'youtube#searchResult', 'etag': 'xovWFGgHc-MNEh_mG3-JOLu1EOQ', 'id': {'kind': 'youtube#video', 'videoId': 'z-ihFXXdbx4'}, 'snippet': {'publishedAt': '2022-06-06T16:47:08Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'Machine Learning &amp; Youtube API: Targeted Youtube Growth Via Topics Your Viewers Want Next', 'description': 'How to figure out what topics would grow your viewership the most for your youtube channel using the Youtube API and machine ...', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/z-ihFXXdbx4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/z-ihFXXdbx4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/z-ihFXXdbx4/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'David Ramsey', 'liveBroadcastContent': 'none', 'publishTime': '2022-06-06T16:47:08Z'}}",Machine Learning &amp; Youtube API: Targeted Youtube Growth Via Topics Your Viewers Want Next,2022-06-06T16:47:08Z
bNBV257ZZyE,UC2IE2CK5Cw_26wVv3hPbAgQ,"{'kind': 'youtube#videoListResponse', 'etag': 'lW94M3rnIobSdjTrRBL4JrUsiFk', 'items': [{'kind': 'youtube#video', 'etag': 'vaBPf_sF4LxRU8v0Ai_LKQTFXEU', 'id': 'bNBV257ZZyE', 'snippet': {'publishedAt': '2022-03-30T18:54:14Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'strata draft 2', 'description': 'A little check-in on stratascratch youtube analysis', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/bNBV257ZZyE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bNBV257ZZyE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bNBV257ZZyE/hqdefault.jpg', 'width': 480, 'height': 360}, 'standard': {'url': 'https://i.ytimg.com/vi/bNBV257ZZyE/sddefault.jpg', 'width': 640, 'height': 480}, 'maxres': {'url': 'https://i.ytimg.com/vi/bNBV257ZZyE/maxresdefault.jpg', 'width': 1280, 'height': 720}}, 'channelTitle': 'David Ramsey', 'categoryId': '28', 'liveBroadcastContent': 'none', 'localized': {'title': 'strata draft 2', 'description': 'A little check-in on stratascratch youtube analysis'}}, 'contentDetails': {'duration': 'PT5M39S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}, 'statistics': {'viewCount': '2', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}}], 'pageInfo': {'totalResults': 1, 'resultsPerPage': 1}}","{'kind': 'youtube#searchResult', 'etag': 'ml8uuEPt9_U30DnsOwtXV7kFpRk', 'id': {'kind': 'youtube#video', 'videoId': 'bNBV257ZZyE'}, 'snippet': {'publishedAt': '2022-03-30T18:54:14Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'strata draft 2', 'description': 'A little check-in on stratascratch youtube analysis.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/bNBV257ZZyE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/bNBV257ZZyE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/bNBV257ZZyE/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'David Ramsey', 'liveBroadcastContent': 'none', 'publishTime': '2022-03-30T18:54:14Z'}}",strata draft 2,2022-03-30T18:54:14Z
EM8DWPcEWgY,UC2IE2CK5Cw_26wVv3hPbAgQ,"{'kind': 'youtube#videoListResponse', 'etag': 'KEWitg_qvzLFkcew-zA2ks6FXG0', 'items': [{'kind': 'youtube#video', 'etag': 'FklwMo6ZZZznsTF0WIwilOuJOT8', 'id': 'EM8DWPcEWgY', 'snippet': {'publishedAt': '2022-03-09T18:54:00Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'stratascratch commenters analysis from their Youtube API Video', 'description': 'Here I show further insights that can be found by using the YouTube API video published by StrataScratch.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/EM8DWPcEWgY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/EM8DWPcEWgY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/EM8DWPcEWgY/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'David Ramsey', 'categoryId': '28', 'liveBroadcastContent': 'none', 'localized': {'title': 'stratascratch commenters analysis from their Youtube API Video', 'description': 'Here I show further insights that can be found by using the YouTube API video published by StrataScratch.'}}, 'contentDetails': {'duration': 'PT5M17S', 'dimension': '2d', 'definition': 'hd', 'caption': 'false', 'licensedContent': False, 'contentRating': {}, 'projection': 'rectangular'}, 'statistics': {'viewCount': '17', 'likeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}}], 'pageInfo': {'totalResults': 1, 'resultsPerPage': 1}}","{'kind': 'youtube#searchResult', 'etag': '85dVwBxceWvV9KAuAnIuQyxgFBo', 'id': {'kind': 'youtube#video', 'videoId': 'EM8DWPcEWgY'}, 'snippet': {'publishedAt': '2022-03-09T18:54:00Z', 'channelId': 'UC2IE2CK5Cw_26wVv3hPbAgQ', 'title': 'stratascratch commenters analysis from their Youtube API Video', 'description': 'Here I show further insights that can be found by using the YouTube API video published by StrataScratch.', 'thumbnails': {'default': {'url': 'https://i.ytimg.com/vi/EM8DWPcEWgY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/EM8DWPcEWgY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/EM8DWPcEWgY/hqdefault.jpg', 'width': 480, 'height': 360}}, 'channelTitle': 'David Ramsey', 'liveBroadcastContent': 'none', 'publishTime': '2022-03-09T18:54:00Z'}}",stratascratch commenters analysis from their Youtube API Video,2022-03-09T18:54:00Z
